Company,Product,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,price_category
4,Inspiron 7773,0,1.6011210104026858,Full HD / Touchscreen 1920x1080,83,0.7117861957712558,1TB HDD,63,5,1.0992862525169893,1
1,MacBook Pro,4,-1.2044068787278503,IPS Panel Retina Display 2560x1600,64,-0.07519506268436271,256GB SSD,56,8,-1.0052832259279667,2
10,IdeaPad 320-15ISK,3,0.4087716575222072,1366x768,56,-0.8621763211399812,128GB SSD,47,4,0.24242582200725737,0
2,Rog Strix,1,1.6011210104026858,Full HD 1920x1080,26,-0.07519506268436271,256GB SSD +  1TB HDD,37,5,1.7456897351822263,1
4,Inspiron 3567,3,0.4087716575222072,Full HD 1920x1080,74,-0.8621763211399812,256GB SSD,24,5,0.39275221332475374,1
2,X751NV-TY001T (N4200/4GB/1TB/GeForce,3,1.6011210104026858,1366x768,113,-0.8621763211399812,1TB HDD,66,5,1.1443841699122381,0
10,Yoga Book,0,-3.44882919003228,IPS Panel Touchscreen 1920x1200,31,-0.8621763211399812,64GB Flash Storage,41,0,-2.0275026868869457,0
0,Aspire A515-51G,3,0.4087716575222072,IPS Panel Full HD 1920x1080,106,-0.07519506268436271,256GB SSD,98,5,0.24242582200725737,1
7,255 G6,3,0.4087716575222072,Full HD 1920x1080,8,-0.8621763211399812,256GB SSD,16,5,-0.2686839084722321,0
7,ProBook 430,3,-1.2044068787278503,Full HD 1920x1080,106,-0.07519506268436271,512GB SSD,61,5,-0.8248915563469708,1
0,Aspire 3,3,0.4087716575222072,1366x768,59,-0.8621763211399812,1TB HDD,53,5,0.5430786046422508,0
4,Inspiron 3576,3,0.4087716575222072,Full HD 1920x1080,106,-0.07519506268436271,256GB SSD,6,5,0.13719734808500914,1
7,15-bs002nv (i3-6006U/4GB/128GB/FHD/W10),3,0.4087716575222072,Full HD 1920x1080,56,-0.8621763211399812,128GB SSD,47,5,-0.19352071281348393,0
2,VivoBook Max,3,0.4087716575222072,1366x768,74,-0.8621763211399812,256GB SSD,53,5,-0.058226960627736635,0
11,GS73VR 7RG,1,1.6011210104026858,Full HD 1920x1080,102,1.4987674542268743,256GB SSD +  2TB HDD,80,5,0.5881765220375001,2
2,X541UA-DM1897 (i3-6006U/4GB/256GB/FHD/Linux),3,0.4087716575222072,Full HD 1920x1080,56,-0.8621763211399812,256GB SSD,47,2,-0.058226960627736635,0
4,Inspiron 5770,3,1.6011210104026858,Full HD 1920x1080,106,1.4987674542268743,256GB SSD +  2TB HDD,7,5,1.1443841699122381,1
4,Vostro 5471,4,-0.713439498130007,Full HD 1920x1080,83,-0.07519506268436271,256GB SSD,61,5,-0.5092061345802273,1
10,IdeaPad 520S-14IKB,3,-0.713439498130007,IPS Panel Full HD 1920x1080,60,-0.07519506268436271,256GB SSD,53,4,-0.5092061345802273,0
2,UX410UA-GV350T (i5-8250U/8GB/256GB/FHD/W10),3,-0.713439498130007,Full HD 1920x1080,83,-0.07519506268436271,256GB SSD,61,5,-0.960185308532718,1
7,250 G6,3,0.4087716575222072,Full HD 1920x1080,74,-0.07519506268436271,256GB SSD,53,5,-0.2686839084722321,1
2,ZenBook Pro,4,0.4087716575222072,Full HD 1920x1080,102,1.4987674542268743,512GB SSD,76,5,-0.3588797432627303,2
7,250 G6,3,0.4087716575222072,1366x768,56,-0.8621763211399812,500GB HDD,6,5,-0.2686839084722321,0
